forecast,observed
26.03180551,17.3317
6.268424532,0.5978
19.8074547,5.1398
4.470516993,1.6448
5.345745477,0.2931
0.330710798,1.2567
4.002772102,5.4793
5.18937603,0.276
0.232016251,1.4999
10.80354213,0
8.103714495,1.6576
0.000103276,0
0.008392498,0
0.000712688,0
0.298381193,0
0.000693068,0
0,0
0,0
1.770321993,0
0,0
0.002521701,0
1.41E-06,0
